type,pd_code,ed_code,pd_name,ed_name,electors,polled,rejected,valid,UPFA,UNP,ITAK,JHU,SLMC,UPF,EPDP,JSP,USP,CDUA,NLF,DPLF,IP1D,UMPA,ULF,IP7D,NPP,SMBP,IP9D,IP6D,S,IP5D,SLPF,IP8D,IP3D,IP2D,RJP,IP4D,SLNF,TLP,SLMK,SEP,DUNF,IP4-ED,IP3-ED,IP1-ED,IP2-ED,;P7D,;P4D
pd,02F,2,Minuwangoda,Gampaha,107679,82878,3169,79683,41026,28632,0,9292,0,0,0,339,248,0,63,0,9,0,0,4,0,15,9,2,1,1,7,3,9,3,2,7,2,1,4,0,4,0,0,0,0,0,0
pd,02G,2,Attanagalla,Gampaha,109731,83008,3853,79128,45529,24282,0,8741,0,0,0,189,237,0,54,0,3,0,0,6,0,8,13,2,4,2,2,4,22,2,3,3,7,7,4,0,4,0,0,0,0,0,0
pd,02L,2,Biyagama,Gampaha,96568,73877,2585,71278,34502,24696,0,11434,0,0,0,306,197,0,57,0,4,0,0,3,0,15,9,2,15,2,7,3,9,1,2,5,1,1,4,0,3,0,0,0,0,0,0
pd,02H,2,Gampaha,Gampaha,120833,92082,3485,88577,51944,24652,0,11357,0,0,0,327,116,0,53,0,3,0,0,7,0,15,7,1,12,0,1,4,17,3,5,6,2,8,2,0,35,0,0,0,0,0,0
pd,02I,2,Ja-Ela,Gampaha,113559,86813,2997,83793,42453,34248,0,6009,0,0,0,671,236,0,97,0,4,0,0,4,0,4,6,1,5,1,4,9,10,0,6,3,1,8,4,0,9,0,0,0,0,0,0
pd,02J,2,Mahara,Gampaha,117826,89962,3448,86498,47558,27012,0,11194,0,0,0,377,178,0,76,0,5,0,0,4,0,25,12,5,12,3,1,0,12,0,4,3,3,5,7,0,2,0,0,0,0,0,0
pd,02M,2,Kelaniya,Gampaha,80329,61749,2996,58736,25774,21450,0,10956,0,0,0,251,147,0,51,0,4,0,0,2,0,11,11,2,35,1,1,4,6,2,2,4,2,5,6,0,9,0,0,0,0,0,0
pd,02P,2,Postal Votes - Gampaha District,Gampaha,0,21352,424,20927,12216,6030,0,2611,0,0,0,25,10,0,21,0,1,0,0,1,0,6,0,1,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
pd,03A,3,Panadura,Kalutara,99741,77549,3240,74309,35687,24020,0,14274,0,0,0,0,79,0,113,0,4,35,11,5,0,12,19,6,8,3,4,16,1,1,4,3,2,0,0,0,2,0,0,0,0,0,0
pd,03B,3,Bandaragama,Kalutara,104093,82231,3826,78405,41850,27240,0,8989,0,0,0,0,52,0,87,0,3,47,18,6,0,10,26,8,18,3,1,14,2,5,8,4,5,0,0,0,9,0,0,0,0,0,0
pd,03C,3,Horana,Kalutara,96686,76073,3407,72666,38421,26764,0,7166,0,0,0,0,41,0,84,0,4,46,26,7,0,12,23,3,28,4,5,13,5,6,4,2,2,0,0,0,0,0,0,0,0,0,0
pd,03D,3,Bulathsinhala,Kalutara,69720,54715,3728,50987,25374,22767,0,2621,0,0,0,0,37,0,34,0,6,40,17,4,0,5,26,5,13,0,5,11,1,6,1,5,3,0,0,0,6,0,0,0,0,0,0
pd,03H,3,Agalawatta,Kalutara,88142,67911,4665,63246,33939,26456,0,2538,0,0,0,0,61,0,39,0,10,56,23,7,0,9,35,4,16,5,3,21,2,2,6,4,5,0,0,0,5,0,0,0,0,0,0
pd,03E,3,Matugama,Kalutara,90919,70030,4000,66030,36294,24912,0,4542,0,0,0,0,40,0,35,0,14,58,24,4,0,9,34,6,6,3,3,22,3,5,3,1,6,0,0,0,6,0,0,0,0,0,0
pd,03F,3,Kalutara,Kalutara,99940,76620,3766,72854,37958,26255,0,8324,0,0,0,0,47,0,118,0,7,44,19,4,0,7,24,3,6,2,4,15,3,3,3,5,1,0,0,0,2,0,0,0,0,0,0
pd,03G,3,Beruwala,Kalutara,96897,74795,3912,70883,33583,30210,0,6751,0,0,0,0,75,0,37,0,7,94,21,2,0,12,24,5,4,4,2,27,2,7,3,4,7,0,0,0,2,0,0,0,0,0,0
pd,03P,3,Postal Votes - Kalutara District,Kalutara,0,13836,197,13639,8102,4097,0,1410,0,0,0,0,0,0,13,0,1,0,2,4,0,3,1,1,1,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
pd,04A,4,Galagedara,Kandy,49964,36764,2523,34241,15896,16645,0,1513,0,0,0,43,19,0,11,0,3,30,3,5,0,3,18,1,28,4,0,9,0,3,0,0,3,0,4,0,0,0,0,0,0,0,0
pd,04B,4,Harispattuwa,Kandy,133404,99066,6988,92078,37806,46572,0,7079,0,0,0,183,56,0,84,0,4,93,20,52,0,10,24,3,25,5,6,18,6,1,1,5,5,0,20,0,0,0,0,0,0,0,0
pd,04C,4,Patha-Dumbara,Kandy,69554,49786,4250,45536,16071,26230,0,2946,0,0,0,75,33,0,31,0,7,45,12,11,0,7,20,7,10,5,1,12,1,2,1,2,5,0,2,0,0,0,0,0,0,0,0
pd,04D,4,Uda-Dumbara,Kandy,51360,37798,3749,34049,18319,15285,0,307,0,0,0,20,15,0,12,0,1,26,7,11,0,2,24,1,3,1,0,7,1,1,3,1,1,0,1,0,0,0,0,0,0,0,0
pd,04E,4,Teldeniya,Kandy,39730,30188,2685,27503,13321,13380,0,674,0,0,0,27,14,0,9,0,0,28,7,3,0,0,10,2,1,2,2,10,2,1,3,1,5,0,1,0,0,0,0,0,0,0,0
pd,04F,4,Kundasale,Kandy,74784,56514,3607,52907,23918,24807,0,3896,0,0,0,112,20,0,28,0,1,40,14,22,0,3,18,3,4,3,0,7,0,0,2,5,3,0,1,0,0,0,0,0,0,0,0
pd,04G,4,Hewaheta,Kandy,59853,43923,3423,40500,16277,22724,0,1253,0,0,0,77,28,0,22,0,3,39,14,3,0,7,18,3,2,3,2,8,2,0,5,5,5,0,0,0,0,0,0,0,0,0,0
pd,04H,4,Senkadagala,Kandy,66995,48762,2424,46338,17403,22435,0,6191,0,0,0,127,11,0,61,0,3,26,10,16,0,11,7,5,13,1,1,6,1,2,1,2,1,0,4,0,0,0,0,0,0,0,0
pd,04I,4,Mahanuwara,Kandy,36760,26782,1123,25659,7141,14367,0,3959,0,0,0,70,15,0,59,0,2,12,3,10,0,2,3,2,5,2,0,3,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0
pd,04J,4,Yatinuwara,Kandy,69992,52657,2465,50192,22887,22647,0,4376,0,0,0,96,18,0,51,0,1,38,14,6,0,20,12,1,5,1,1,5,7,1,0,1,4,0,0,0,0,0,0,0,0,0,0
pd,04K,4,Udunuwara,Kandy,69844,52154,2999,49155,21739,23413,0,3678,0,0,0,134,25,0,34,0,4,41,11,11,0,4,21,2,2,1,3,11,3,0,3,2,5,0,8,0,0,0,0,0,0,0,0
pd,04L,4,Gampola,Kandy,81694,59394,4415,54979,22066,30109,0,2515,0,0,0,63,30,0,34,0,2,68,16,13,0,6,18,3,3,4,1,16,1,1,2,1,4,0,3,0,0,0,0,0,0,0,0
pd,04M,4,Nawalapitiya,Kandy,76700,55093,4421,50642,22708,25823,0,1793,0,0,0,61,35,0,44,0,2,55,14,10,0,2,39,10,2,2,3,16,3,4,3,1,6,0,6,0,0,0,0,0,0,0,0
pd,04P,4,Postal Votes - Kandy District,Kandy,0,24499,412,24087,12579,9422,0,2012,0,0,0,21,5,0,21,0,4,7,2,5,0,4,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
pd,05A,5,Dambulla,Matale,107353,79565,6905,72660,40616,29456,0,1982,0,0,0,64,264,0,33,0,9,0,0,0,77,9,0,91,3,10,4,0,13,4,5,2,2,5,11,0,0,0,0,0,0,0,0
pd,05B,5,Laggala,Matale,58799,44664,3598,41066,21307,18784,0,579,0,0,0,34,220,0,10,0,5,0,0,0,29,2,0,43,3,11,3,0,16,4,1,2,11,1,1,0,0,0,0,0,0,0,0
pd,05C,5,Matale,Matale,69860,50176,3910,46266,18496,24058,0,3135,0,0,0,89,263,0,31,0,13,0,0,0,67,5,0,48,2,12,0,0,15,7,1,3,1,15,5,0,0,0,0,0,0,0,0
pd,05D,5,Rattota,Matale,76544,56388,4959,51429,22747,25330,0,2611,0,0,0,81,383,0,32,0,5,0,0,0,90,4,0,80,2,14,1,0,20,3,7,5,6,5,3,0,0,0,0,0,0,0,0
pd,05P,5,Postal Votes - Matale District,Matale,0,8818,177,8641,5093,3014,0,512,0,0,0,3,5,0,3,0,1,0,0,0,4,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
pd,06A,6,Nuwara-Eliya - Maskeliya,Nuwara-Eliya,239511,193266,13594,179672,25989,100350,0,2617,0,41563,0,372,1019,7331,113,0,0,0,0,0,0,23,0,0,12,0,6,0,0,0,72,0,11,58,0,0,0,54,36,19,27,0,0
pd,06B,6,Kotmale,Nuwara-Eliya,65044,50838,2896,47942,15964,25390,0,593,0,4182,0,27,144,1563,11,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,1,0,3,25,0,0,0,13,9,5,3,0,0
pd,06C,6,Hanguranketa,Nuwara-Eliya,61868,47529,3732,43797,16962,25313,0,630,0,574,0,77,73,88,16,0,0,0,0,0,0,9,0,0,6,0,2,0,0,0,3,0,4,4,0,0,0,15,11,9,1,0,0
pd,06D,6,Walapane,Nuwara-Eliya,69813,53119,4028,49091,20607,22768,0,395,0,3170,0,51,188,1697,42,0,0,0,0,0,0,11,0,0,4,0,3,0,0,0,3,0,7,99,0,0,0,13,16,11,6,0,0
pd,06P,6,Postal Votes - Nuwara-Eliya District,Nuwara-Eliya,0,7270,163,7107,3423,3150,0,219,0,239,0,5,2,57,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,1,0,0
pd,07A,7,Balapitiya,Galle,48387,35706,1489,34217,18002,14117,0,1944,0,0,0,40,30,0,11,0,7,0,37,3,0,2,10,0,0,0,2,1,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0
pd,07B,7,Ambalangoda,Galle,63495,48969,2384,46585,26435,17289,0,2544,0,0,0,80,25,0,99,0,14,0,45,1,0,11,13,0,0,4,3,5,2,2,7,0,6,0,0,0,0,0,0,0,0,0,0
pd,07D,7,Bentara-Elpitiya,Galle,80943,63119,3369,59750,34840,22243,0,2411,0,0,0,83,49,0,16,0,12,0,45,5,0,4,18,5,3,4,0,5,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0
pd,07E,7,Hiniduma,Galle,86343,71854,4371,67483,38633,27440,0,1119,0,0,0,50,67,0,15,0,10,0,82,4,0,9,24,5,2,3,1,3,8,2,2,2,2,0,0,0,0,0,0,0,0,0,0
pd,07I,7,Akmeemana,Galle,76101,58534,3007,55527,30897,21249,0,3095,0,0,0,64,54,0,49,0,16,0,42,4,0,9,16,0,6,5,1,7,5,4,3,1,0,0,0,0,0,0,0,0,0,0,0
pd,07F,7,Baddegama,Galle,83381,67096,4727,62369,35936,24572,0,1368,0,0,0,77,58,0,42,0,5,0,213,7,0,8,28,5,4,9,3,11,11,3,6,0,3,0,0,0,0,0,0,0,0,0,0
pd,07G,7,Ratgama,Galle,73009,54268,2913,51355,29413,19408,0,2267,0,0,0,53,44,0,38,0,21,0,49,3,0,17,13,6,1,3,1,4,4,2,3,5,0,0,0,0,0,0,0,0,0,0,0
pd,07H,7,Galle,Galle,70204,51106,2227,48879,20779,23585,0,4166,0,0,0,85,56,0,110,0,5,0,60,2,0,3,11,1,4,0,0,5,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0
pd,07J,7,Habaraduwa,Galle,72566,55105,3135,51970,30648,19417,0,1667,0,0,0,48,42,0,30,0,22,0,51,0,0,3,19,0,2,4,1,8,2,2,3,0,1,0,0,0,0,0,0,0,0,0,0
pd,07C,7,Karandeniya,Galle,62180,48030,2464,45566,29807,14377,0,1187,0,0,0,37,25,0,24,0,9,0,46,3,0,5,12,3,2,0,1,14,1,3,3,1,6,0,0,0,0,0,0,0,0,0,0
pd,07P,7,Postal Votes - Galle District,Galle,0,18104,294,17810,10995,5702,0,1058,0,0,0,9,6,0,23,0,0,0,4,0,0,3,0,0,4,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0
pd,08A,8,Deniyaya,Matara,80259,62747,4545,58202,33051,23262,0,1197,0,0,0,123,376,0,29,0,11,0,0,63,0,3,0,36,2,12,1,0,8,12,0,3,5,8,0,0,0,0,0,0,0,0,0
pd,08B,8,Hakmana,Matara,79918,58479,3846,54633,34158,18582,0,1421,0,0,0,118,226,0,18,0,10,0,0,34,0,5,0,15,3,7,5,0,2,6,0,5,4,14,0,0,0,0,0,0,0,0,0
pd,08C,8,Akuressa,Matara,82330,62709,3427,59282,35747,21318,0,1733,0,0,0,91,253,0,20,0,4,0,0,49,0,5,0,25,6,1,1,0,6,2,0,8,7,6,0,0,0,0,0,0,0,0,0
pd,08D,8,Kamburupitiya,Matara,74434,54098,2958,51140,31927,16879,0,1988,0,0,0,102,167,0,17,0,7,0,0,21,0,7,0,7,1,1,2,0,3,4,0,1,2,4,0,0,0,0,0,0,0,0,0
pd,08G,8,Weligama,Matara,83288,61139,3422,57717,34824,19996,0,2462,0,0,0,92,204,0,36,0,7,0,0,37,0,5,0,20,4,5,1,0,5,4,0,3,6,6,0,0,0,0,0,0,0,0,0
pd,08E,8,Devinuwara,Matara,71812,51856,2365,49491,30360,16473,0,2331,0,0,0,99,148,0,16,0,6,0,0,15,0,4,0,4,7,5,3,0,5,3,0,2,3,7,0,0,0,0,0,0,0,0,0
pd,08F,8,Matara,Matara,78465,59090,1999,57091,32967,19458,0,4309,0,0,0,84,146,0,52,0,7,0,0,25,0,4,0,10,3,3,8,0,6,3,0,0,2,4,0,0,0,0,0,0,0,0,0
pd,08P,8,Postal Votes - Matara District,Matara,0,12884,207,12677,8201,3665,0,788,0,0,0,9,6,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
pd,09A,9,Mulkirigala,Hambantota,85563,62006,4438,57568,34604,22582,0,0,0,0,0,70,51,0,86,0,3,0,61,12,0,15,0,0,8,19,2,38,3,7,0,1,6,0,0,0,0,0,0,0,0,0,0
pd,09B,9,Beliatta,Hambantota,72045,52693,2717,49976,32017,17631,0,0,0,0,0,68,44,0,39,0,20,0,49,3,0,29,0,6,5,9,2,35,5,10,0,1,3,0,0,0,0,0,0,0,0,0,0
pd,09C,9,Tangalle,Hambantota,98376,75649,4121,71528,48744,22472,0,0,0,0,0,68,60,0,27,0,8,0,54,4,0,14,0,4,7,8,6,37,3,6,0,0,6,0,0,0,0,0,0,0,0,0,0
pd,09D,9,Tissamaharama,Hambantota,128377,98098,6311,91787,57861,33449,0,0,0,0,0,121,83,0,36,0,9,0,82,7,0,31,0,11,11,26,1,28,11,7,0,4,9,0,0,0,0,0,0,0,0,0,0
pd,09P,9,Postal Votes - Hambantota District,Hambantota,0,8588,137,8451,5669,2743,0,0,0,0,0,1,1,0,7,0,1,0,6,0,0,16,0,0,0,0,1,1,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0
pd,10A,10,Kayts,Jaffna,51911,16736,1282,15454,0,0,13911,4,41,0,1406,0,14,0,11,0,51,0,0,0,0,0,0,0,3,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0
pd,10B,10,Vaddukkoddai,Jaffna,61283,28901,2543,26358,0,0,24240,9,9,0,1513,0,42,0,32,0,485,0,0,0,0,0,0,0,7,0,0,0,0,15,6,0,0,0,0,0,0,0,0,0,0,0,0
pd,10C,10,Kankesanturai,Jaffna,64434,23017,1631,21386,0,0,18499,5,7,0,2395,0,27,0,25,0,405,0,0,0,0,0,0,0,8,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0
pd,10D,10,Manipay,Jaffna,65218,30426,2268,28158,0,0,23779,20,11,0,3239,0,36,0,54,0,980,0,0,0,0,0,0,0,11,0,0,0,0,22,6,0,0,0,0,0,0,0,0,0,0,0,0
pd,10K,10,Kilinochchi,Jaffna,57975,32152,2213,29939,0,0,29574,8,5,0,145,0,18,0,6,0,171,0,0,0,0,0,0,0,2,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0
pd,10E,10,Kopay,Jaffna,61403,31940,2445,29495,0,0,26805,12,16,0,2108,0,32,0,36,0,453,0,0,0,0,0,0,0,9,0,0,0,0,15,9,0,0,0,0,0,0,0,0,0,0,0,0
pd,10F,10,Udupiddy,Jaffna,54087,27463,1956,25507,0,0,24172,12,13,0,874,0,25,0,23,0,362,0,0,0,0,0,0,0,6,0,0,0,0,15,5,0,0,0,0,0,0,0,0,0,0,0,0
pd,10G,10,Point Pedro,Jaffna,45457,24400,1028,23372,0,0,22400,5,2,0,676,0,22,0,9,0,248,0,0,0,0,0,0,0,1,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0
pd,10J,10,Jaffna,Jaffna,57460,19750,1120,18630,0,0,16353,4,151,0,1710,0,6,0,13,0,360,0,0,0,0,0,0,0,11,0,0,0,0,17,5,0,0,0,0,0,0,0,0,0,0,0,0
pd,10H,10,Chavakachcheri,Jaffna,57379,35690,2966,32724,0,0,30882,9,8,0,1252,0,24,0,19,0,492,0,0,0,0,0,0,0,6,0,0,0,0,24,8,0,0,0,0,0,0,0,0,0,0,0,0
