type,pd_code,ed_code,pd_name,ed_name,electors,polled,rejected,valid,PA,UNP,SLMC,TULF,SLPF,MEP,IG.06,TELO,DPLF,IG.10,EPRLF,IG.01,IG.20,IG.13,IG.19,IG.11,IG.12,NSSP,IG.21,IG.05,IG.09,TKLO,PFF,IG.14,DWC,IG.04,SMBP
pd,03P,03,Postal Votes - Kalutara District,Kalutara,15594,15084,233,14851,8775,5503,0,0,175,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
pd,04A,04,Galagedara,Kandy,43462,35023,1648,33375,14762,18240,0,0,144,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
pd,04B,04,Harispattuwa,Kandy,109246,88795,4352,84443,41035,42356,0,0,546,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0
pd,04C,04,Patha-Dumbara,Kandy,57482,46485,2731,43754,17816,25471,0,0,186,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
pd,04D,04,Uda-Dumbara,Kandy,42700,37065,2149,34916,16590,18116,0,0,93,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
pd,04E,04,Teldeniya,Kandy,32992,27830,1766,26064,12457,13408,0,0,99,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
pd,04F,04,Kundasale,Kandy,56925,46085,2434,43651,20461,22434,0,0,318,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
pd,04G,04,Hewaheta,Kandy,50376,40345,2611,37734,15365,22141,0,0,92,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
pd,04H,04,Senkadagala,Kandy,55740,43724,1610,42114,20318,21005,0,0,286,474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
pd,04I,04,Mahanuwara,Kandy,32335,25286,843,24443,10591,13342,0,0,140,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
pd,04J,04,Yatinuwara,Kandy,58455,47488,2122,45366,23096,21602,0,0,350,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
pd,04K,04,Udunuwara,Kandy,56671,46184,2238,43946,21635,21586,0,0,311,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
pd,04L,04,Gampola,Kandy,66812,54397,3117,51280,22962,27942,0,0,174,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
pd,04M,04,Nawalapitiya,Kandy,62996,51760,3148,48612,21402,26836,0,0,211,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
pd,04P,04,Postal Votes - Kandy District,Kandy,17747,17104,250,16854,9193,7345,0,0,122,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
pd,05A,05,Dambulla,Matale,85870,69832,3881,65951,34286,30468,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,597,0,0,0,0,0,0,0
pd,05B,05,Laggala,Matale,48525,41826,2618,39208,20648,17970,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437,0,0,0,0,0,0,0
pd,05C,05,Matale,Matale,58638,46315,2630,43685,20607,22446,0,0,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,0,0,0,0,0,0,0
pd,05D,05,Rattota,Matale,66238,53188,3393,49795,22856,26283,0,0,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390,0,0,0,0,0,0,0
pd,05P,05,Postal Votes - Matale District,Matale,7703,7447,124,7323,4283,2954,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
pd,06A,06,Nuwara-Eliya - Maskeliya,Nuwara-Eliya,212690,172659,13368,159291,39476,94893,0,0,453,221,24248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,06B,06,Kotmale,Nuwara-Eliya,56977,47155,2607,44548,16112,26542,0,0,194,90,1610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,06C,06,Hanguranketa,Nuwara-Eliya,54001,45467,2526,42941,17904,24783,0,0,130,56,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,06D,06,Walapane,Nuwara-Eliya,63000,52360,2997,49363,21453,26534,0,0,107,80,1189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,06P,06,Postal Votes - Nuwara-Eliya District,Nuwara-Eliya,6102,5869,94,5775,2713,2726,0,0,44,33,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,07A,07,Balapitiya,Galle,43988,33058,1380,31678,16907,14239,0,0,421,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
pd,07B,07,Ambalangoda,Galle,56041,44833,1801,43032,24417,17643,0,0,780,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0
pd,07C,07,Karandeniya,Galle,53066,40620,1975,38645,21880,15830,0,0,805,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0
pd,07D,07,Bentara-Elpitiya,Galle,71765,56865,2418,54447,31222,22059,0,0,940,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0
pd,07E,07,Hiniduma,Galle,74337,63433,2747,60686,33648,26099,0,0,601,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0
pd,07F,07,Baddegama,Galle,74331,61356,2937,58419,33572,23874,0,0,505,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0
pd,07G,07,Ratgama,Galle,66221,51042,2132,48910,27243,20412,0,0,891,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0
pd,07H,07,Galle,Galle,62011,46260,1418,44842,23347,19885,0,0,612,983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
pd,07I,07,Akmeemana,Galle,64320,51783,1808,49975,28027,20576,0,0,645,704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0
pd,07J,07,Habaraduwa,Galle,66342,51796,1962,49834,29716,18528,0,0,819,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0
pd,07P,07,Postal Votes - Galle District,Galle,13137,12631,185,12446,7977,4123,0,0,220,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
pd,08A,08,Deniyaya,Matara,71106,58937,3330,55607,30743,23930,0,0,756,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,08B,08,Hakmana,Matara,70889,55579,2965,52614,30834,20608,0,0,991,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,08C,08,Akuressa,Matara,74562,59311,2674,56637,32837,21999,0,0,1554,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,08D,08,Kamburupitiya,Matara,69050,52035,2318,49717,32318,16069,0,0,1098,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,08E,08,Devinuwara,Matara,66923,50776,1841,48935,28191,19335,0,0,1304,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,08F,08,Matara,Matara,73461,54686,1632,53054,32629,18915,0,0,1264,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,08G,08,Weligama,Matara,77479,57880,2325,55555,34760,19013,0,0,1600,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,08P,08,Postal Votes - Matara District,Matara,7639,7430,82,7348,4973,2155,0,0,169,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,09A,09,Mulkirigala,Hambantota,73236,57483,3763,53720,28181,22078,0,0,2679,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,47,0,0,0,32
pd,09B,09,Beliatta,Hambantota,66091,50664,2333,48331,25501,18643,0,0,3169,680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,23,0,0,0,49
pd,09C,09,Tangalle,Hambantota,80917,64134,3239,60895,33090,22882,0,0,4054,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,51,0,0,0,32
pd,09D,09,Tissamaharama,Hambantota,106669,82252,4116,78136,41739,30056,0,0,5151,554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,46,0,0,0,149
pd,09P,09,Postal Votes - Hambantota District,Hambantota,5892,5685,88,5597,3497,1723,0,0,256,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
pd,10A,10,Kayts,Jaffna,49504,10748,302,10446,0,0,56,0,0,0,0,0,0,214,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,10B,10,Vaddukkoddai,Jaffna,58949,639,27,612,0,0,5,0,0,0,0,0,0,43,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,10C,10,Kankesanturai,Jaffna,60417,127,6,121,0,0,4,0,0,0,0,0,0,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,10D,10,Manipay,Jaffna,58382,13,1,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,10E,10,Kopay,Jaffna,56496,60,3,57,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,10F,10,Udupiddy,Jaffna,52153,8,0,8,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,10G,10,Point Pedro,Jaffna,40336,35,1,34,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,10H,10,Chavakachcheri,Jaffna,51717,82,3,79,0,0,62,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,10I,10,Nallur,Jaffna,62372,20,1,19,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,10J,10,Jaffna,Jaffna,50045,2030,8,2022,0,0,1914,0,0,0,0,0,0,26,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,10K,10,Kilinochchi,Jaffna,55995,66,0,66,0,0,56,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,10P,10,Postal Votes - Jaffna District,Jaffna,9,9,6,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,11A,11,Mannar,Vanni,54066,18783,1106,17677,207,2437,5785,1127,0,0,0,0,4403,0,1841,0,0,0,0,49,0,16,0,0,0,0,0,0,0,0,0
pd,11C,11,Mullaitivu,Vanni,72434,23463,1766,21697,4869,4497,1412,1756,0,0,0,0,7080,0,1465,0,0,0,0,24,0,26,0,0,0,0,0,0,0,0,0
pd,11B,11,Vavuniya,Vanni,52197,2336,125,2211,342,799,906,8,0,0,0,0,13,0,53,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
pd,11P,11,Postal Votes - Vanni District,Vanni,738,698,12,686,165,117,39,148,0,0,0,0,71,0,106,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
pd,12A,12,Kalkudah,Batticaloa,73640,53415,4705,48710,2944,6891,11179,23261,0,0,0,3557,0,0,687,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0
pd,12B,12,Batticaloa,Batticaloa,123893,83962,5805,78157,7413,13622,19368,28020,0,0,0,6804,0,0,2069,0,0,0,0,0,347,0,0,0,0,0,0,0,0,0,0
pd,12C,12,Padiruppu,Batticaloa,64365,49141,4940,44201,8672,2269,79,23688,0,0,0,6493,0,0,1976,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0
pd,12P,12,Postal Votes - Batticaloa District,Batticaloa,3355,3101,81,3020,249,462,446,1547,0,0,0,219,0,0,70,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
pd,13A,13,Ampara,Digamadulla,112046,90199,4439,85760,42819,42100,72,65,465,0,0,151,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,13B,13,Sammanturai,Digamadulla,51991,40652,2180,38472,889,9874,21997,4355,44,0,0,969,0,0,0,0,0,344,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,13C,13,Kalmunai,Digamadulla,50248,39789,1454,38335,584,7631,22653,6294,26,0,0,789,0,0,0,0,0,358,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,13D,13,Potuvil,Digamadulla,97721,76358,4536,71822,7959,16717,28851,13532,108,0,0,2235,0,0,0,0,0,2420,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,13P,13,Postal Votes - Digamadulla District,Digamadulla,6704,6504,127,6377,1899,2445,1519,280,30,0,0,48,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,14A,14,Seruwila,Trincomalee,54632,38465,2311,36154,17183,14556,1870,1765,286,0,0,271,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0
pd,14B,14,Trincomalee,Trincomalee,67509,40922,2110,38812,18548,5703,5710,5156,199,0,0,2736,0,0,408,0,0,0,0,0,0,0,0,0,0,0,0,352,0,0,0
pd,14C,14,Mutur,Trincomalee,61949,43522,2210,41312,6817,13773,18677,856,86,0,0,651,0,0,252,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0
pd,14P,14,Postal Votes - Trincomalee District,Trincomalee,3901,3715,51,3664,1250,954,646,691,18,0,0,51,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0
pd,15A,15,Galgamuwa,Kurunegala,69872,58909,2329,56580,31870,23996,0,0,496,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,15B,15,Nikaweratiya,Kurunegala,64434,53572,2365,51207,28351,22471,0,0,251,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,15C,15,Yapahuwa,Kurunegala,76083,62557,3041,59516,30277,28549,0,0,583,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,15D,15,Hiriyala,Kurunegala,67182,53484,2817,50667,23984,26181,0,0,311,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,15E,15,Wariyapola,Kurunegala,53579,44919,1777,43142,23974,18802,0,0,241,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,15F,15,Panduwasnuwara,Kurunegala,52667,43379,1747,41632,21295,20011,0,0,189,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,15G,15,Bingiriya,Kurunegala,61107,51043,1441,49602,25709,23502,0,0,213,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,15H,15,Katugampola,Kurunegala,68616,57014,2235,54779,30192,23922,0,0,442,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,15I,15,Kuliyapitiya,Kurunegala,69233,57130,2229,54901,27109,27173,0,0,272,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,15J,15,Dambadeniya,Kurunegala,69064,57268,2013,55255,28551,26223,0,0,277,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,15K,15,Polgahawela,Kurunegala,55872,45278,1745,43533,20829,22167,0,0,263,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,15L,15,Kurunegala,Kurunegala,59146,46726,1947,44779,22173,22042,0,0,334,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,15M,15,Mawathagama,Kurunegala,60627,47998,1752,46246,23746,21805,0,0,491,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd,15N,15,Dodangaslanda,Kurunegala,49109,38327,2243,36084,18300,17193,0,0,466,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
