type,pd_code,ed_code,pd_name,ed_name,electors,polled,rejected,valid,UNP,SLFP,SLMC,TULF,IG.10,USA,MEP,ELJP,IG.12,IG.14,DPLF,USP,IG.11,ACTC,IG.17,USF,IG.21,IG.16,IG.20
pd,02I,02,Ja-Ela,Gampaha,80113,58576,2640,55936,34415,19230,0,0,0,1901,0,390,0,0,0,0,0,0,0,0,0,0,0
pd,02J,02,Mahara,Gampaha,78192,58927,2631,56296,28310,25361,0,0,0,2112,0,513,0,0,0,0,0,0,0,0,0,0,0
pd,02K,02,Dompe,Gampaha,71255,57126,2401,54725,27777,25746,0,0,0,857,0,345,0,0,0,0,0,0,0,0,0,0,0
pd,02L,02,Biyagama,Gampaha,65038,49151,2507,46644,25435,18521,0,0,0,1435,0,1253,0,0,0,0,0,0,0,0,0,0,0
pd,02M,02,Kelaniya,Gampaha,65066,47957,2190,45767,23549,18716,0,0,0,3064,0,438,0,0,0,0,0,0,0,0,0,0,0
pd,02P,02,Postal Votes - Gampaha District,Gampaha,19073,18486,409,18077,9936,7130,0,0,0,787,0,224,0,0,0,0,0,0,0,0,0,0,0
pd,03A,03,Panadura,Kalutara,76836,52672,2162,50510,20473,23778,2428,0,0,3025,641,165,0,0,0,0,0,0,0,0,0,0,0
pd,03B,03,Bandaragama,Kalutara,72270,54914,2550,52364,24894,23202,1968,0,0,1764,369,167,0,0,0,0,0,0,0,0,0,0,0
pd,03C,03,Horana,Kalutara,67915,49160,2883,46277,25770,17658,129,0,0,1778,839,103,0,0,0,0,0,0,0,0,0,0,0
pd,03D,03,Bulathsinhala,Kalutara,57111,31784,2463,29321,16360,12024,321,0,0,207,253,156,0,0,0,0,0,0,0,0,0,0,0
pd,03E,03,Matugama,Kalutara,68955,29690,2621,27069,13643,12156,436,0,0,414,108,312,0,0,0,0,0,0,0,0,0,0,0
pd,03F,03,Kalutara,Kalutara,73971,40549,2407,38142,17840,14374,2248,0,0,3311,122,247,0,0,0,0,0,0,0,0,0,0,0
pd,03G,03,Beruwala,Kalutara,72355,40716,2214,38502,19298,12976,5250,0,0,642,112,224,0,0,0,0,0,0,0,0,0,0,0
pd,03H,03,Agalawatta,Kalutara,69937,31366,2545,28821,16311,11397,158,0,0,679,101,175,0,0,0,0,0,0,0,0,0,0,0
pd,03P,03,Postal Votes - Kalutara District,Kalutara,10843,10481,294,10187,5480,3945,33,0,0,522,145,62,0,0,0,0,0,0,0,0,0,0,0
pd,04A,04,Galagedara,Kandy,38747,26625,1298,25327,16777,7686,495,0,0,288,0,81,0,0,0,0,0,0,0,0,0,0,0
pd,04B,04,Harispattuwa,Kandy,92300,37016,2519,34497,21218,10538,2476,0,0,157,0,108,0,0,0,0,0,0,0,0,0,0,0
pd,04C,04,Patha-Dumbara,Kandy,47713,28196,1897,26299,17031,6979,1740,0,0,476,0,73,0,0,0,0,0,0,0,0,0,0,0
pd,04D,04,Uda-Dumbara,Kandy,36923,28670,2585,26085,16255,9373,84,0,0,263,0,110,0,0,0,0,0,0,0,0,0,0,0
pd,04E,04,Teldeniya,Kandy,27254,11319,758,10561,6019,4146,249,0,0,113,0,34,0,0,0,0,0,0,0,0,0,0,0
pd,04F,04,Kundasale,Kandy,47758,16121,1225,14896,9594,4206,685,0,0,295,0,116,0,0,0,0,0,0,0,0,0,0,0
pd,04G,04,Hewaheta,Kandy,42178,34360,2025,32335,20917,10307,800,0,0,192,0,119,0,0,0,0,0,0,0,0,0,0,0
pd,04H,04,Senkadagala,Kandy,46746,26602,1357,25245,14471,8853,1018,0,0,774,0,129,0,0,0,0,0,0,0,0,0,0,0
pd,04I,04,Mahanuwara,Kandy,28267,16143,768,15375,9513,3911,1263,0,0,556,0,132,0,0,0,0,0,0,0,0,0,0,0
pd,04J,04,Yatinuwara,Kandy,50598,21682,1062,20620,11064,8661,500,0,0,334,0,61,0,0,0,0,0,0,0,0,0,0,0
pd,04K,04,Udunuwara,Kandy,48915,16252,1048,15204,9012,3352,2682,0,0,106,0,52,0,0,0,0,0,0,0,0,0,0,0
pd,04L,04,Gampola,Kandy,54611,41294,2642,38652,23262,13450,1555,0,0,288,0,97,0,0,0,0,0,0,0,0,0,0,0
pd,04M,04,Nawalapitiya,Kandy,53327,37624,2784,34840,22315,10425,1065,0,0,921,0,114,0,0,0,0,0,0,0,0,0,0,0
pd,04P,04,Postal Votes - Kandy District,Kandy,12980,12579,406,12173,7525,4090,85,0,0,384,0,89,0,0,0,0,0,0,0,0,0,0,0
pd,05A,05,Dambulla,Matale,71722,47312,3818,43494,23381,18786,0,0,0,445,0,882,0,0,0,0,0,0,0,0,0,0,0
pd,05B,05,Laggala,Matale,40656,29942,2453,27489,19839,7143,0,0,0,350,0,157,0,0,0,0,0,0,0,0,0,0,0
pd,05C,05,Matale,Matale,47520,33557,2445,31112,21422,8553,0,0,0,773,0,364,0,0,0,0,0,0,0,0,0,0,0
pd,05D,05,Rattota,Matale,51452,36945,3079,33866,22019,10225,0,0,0,710,0,912,0,0,0,0,0,0,0,0,0,0,0
pd,05P,05,Postal Votes - Matale District,Matale,3588,3451,132,3319,2208,1010,0,0,0,66,0,35,0,0,0,0,0,0,0,0,0,0,0
pd,06A,06,Nuwara-Eliya - Maskeliya,Nuwara-Eliya,100139,79401,5937,73464,44252,15928,1078,0,0,3488,0,0,0,0,8718,0,0,0,0,0,0,0,0
pd,06B,06,Kotmale,Nuwara-Eliya,38688,31788,2439,29349,18712,9175,492,0,0,260,0,0,0,0,710,0,0,0,0,0,0,0,0
pd,06C,06,Hanguranketa,Nuwara-Eliya,43844,36899,2457,34442,24140,9890,49,0,0,262,0,0,0,0,101,0,0,0,0,0,0,0,0
pd,06D,06,Walapane,Nuwara-Eliya,43624,35835,2687,33148,20699,11236,97,0,0,155,0,0,0,0,961,0,0,0,0,0,0,0,0
pd,06P,06,Postal Votes - Nuwara-Eliya District,Nuwara-Eliya,3224,3101,80,3021,2050,899,4,0,0,49,0,0,0,0,19,0,0,0,0,0,0,0,0
pd,07A,07,Balapitiya,Galle,40345,26375,2191,24184,13052,4130,188,0,0,6475,142,197,0,0,0,0,0,0,0,0,0,0,0
pd,07B,07,Ambalangoda,Galle,48725,33169,2505,30664,15386,12248,58,0,0,2365,234,373,0,0,0,0,0,0,0,0,0,0,0
pd,07C,07,Karandeniya,Galle,47426,22576,1777,20799,9516,10402,134,0,0,410,66,271,0,0,0,0,0,0,0,0,0,0,0
pd,07D,07,Bentara-Elpitiya,Galle,64529,41564,3152,38412,18482,15849,205,0,0,3465,258,153,0,0,0,0,0,0,0,0,0,0,0
pd,07E,07,Hiniduma,Galle,64452,51880,2954,48926,25466,22597,92,0,0,311,298,162,0,0,0,0,0,0,0,0,0,0,0
pd,07F,07,Baddegama,Galle,64390,49684,2705,46979,23790,22325,114,0,0,461,115,174,0,0,0,0,0,0,0,0,0,0,0
pd,07G,07,Ratgama,Galle,59508,42732,2729,40003,21511,14593,85,0,0,3100,534,180,0,0,0,0,0,0,0,0,0,0,0
pd,07H,07,Galle,Galle,54738,38085,1587,36498,17547,13523,2899,0,0,469,281,1779,0,0,0,0,0,0,0,0,0,0,0
pd,07I,07,Akmeemana,Galle,56408,42142,1856,40286,19615,19613,160,0,0,285,161,452,0,0,0,0,0,0,0,0,0,0,0
pd,07J,07,Habaraduwa,Galle,60474,30560,1792,28768,14840,12857,55,0,0,303,472,241,0,0,0,0,0,0,0,0,0,0,0
pd,07P,07,Postal Votes - Galle District,Galle,10151,9774,288,9486,4757,3959,24,0,0,516,115,115,0,0,0,0,0,0,0,0,0,0,0
pd,08A,08,Deniyaya,Matara,58008,6724,567,6157,3556,2301,0,0,0,104,105,91,0,0,0,0,0,0,0,0,0,0,0
pd,08B,08,Hakmana,Matara,64833,512,43,469,218,149,0,0,0,2,3,97,0,0,0,0,0,0,0,0,0,0,0
pd,08C,08,Akuressa,Matara,66310,9917,836,9081,5454,2902,0,0,0,481,82,162,0,0,0,0,0,0,0,0,0,0,0
pd,08D,08,Kamburupitiya,Matara,62577,2907,235,2672,1231,1136,0,0,0,103,24,178,0,0,0,0,0,0,0,0,0,0,0
pd,08E,08,Devinuwara,Matara,61452,8162,149,8013,6622,1369,0,0,0,18,2,2,0,0,0,0,0,0,0,0,0,0,0
pd,08F,08,Matara,Matara,62612,33258,1835,31423,16505,11094,0,0,0,2879,240,705,0,0,0,0,0,0,0,0,0,0,0
pd,08G,08,Weligama,Matara,69515,19053,1237,17816,9141,7508,0,0,0,262,754,151,0,0,0,0,0,0,0,0,0,0,0
pd,08P,08,Postal Votes - Matara District,Matara,6619,6100,226,5874,3007,2293,0,0,0,376,103,95,0,0,0,0,0,0,0,0,0,0,0
pd,09A,09,Mulkirigala,Hambantota,66111,14858,404,14454,8653,5581,24,0,0,111,0,0,0,0,85,0,0,0,0,0,0,0,0
pd,09B,09,Beliatta,Hambantota,61466,11120,204,10916,6235,4418,3,0,0,18,0,0,0,0,242,0,0,0,0,0,0,0,0
pd,09C,09,Tangalle,Hambantota,69327,4608,961,3647,1640,1948,5,0,0,25,0,0,0,0,29,0,0,0,0,0,0,0,0
pd,09D,09,Tissamaharama,Hambantota,94234,27089,2589,24500,13406,9273,105,0,0,1492,0,0,0,0,224,0,0,0,0,0,0,0,0
pd,09P,09,Postal Votes - Hambantota District,Hambantota,3982,3239,181,3058,1705,1239,6,0,0,40,0,0,0,0,68,0,0,0,0,0,0,0,0
pd,10A,10,Kayts,Jaffna,49401,25174,2577,22597,354,0,466,3706,17108,0,0,0,0,0,572,0,0,391,0,0,0,0,0
pd,10B,10,Vaddukkoddai,Jaffna,58770,29601,3217,26384,470,0,682,5827,17814,0,0,0,0,0,1050,0,0,541,0,0,0,0,0
pd,10C,10,Kankesanturai,Jaffna,60282,29310,2817,26493,388,0,500,9073,14801,0,0,0,0,0,1199,0,0,532,0,0,0,0,0
pd,10D,10,Manipay,Jaffna,58166,29897,2453,27444,496,0,592,6048,18521,0,0,0,0,0,1252,0,0,535,0,0,0,0,0
pd,10E,10,Kopay,Jaffna,56413,30678,2954,27724,421,0,815,6717,17846,0,0,0,0,0,1073,0,0,852,0,0,0,0,0
pd,10F,10,Udupiddy,Jaffna,51943,3573,380,3193,46,0,84,1178,1587,0,0,0,0,0,171,0,0,127,0,0,0,0,0
pd,10G,10,Point Pedro,Jaffna,40060,10752,894,9858,569,0,275,2428,5860,0,0,0,0,0,384,0,0,342,0,0,0,0,0
pd,10H,10,Chavakachcheri,Jaffna,51374,19913,3254,16659,339,0,553,6350,7851,0,0,0,0,0,581,0,0,985,0,0,0,0,0
pd,10I,10,Nallur,Jaffna,61624,29107,1375,27732,320,0,410,4211,21123,0,0,0,0,0,531,0,0,1137,0,0,0,0,0
pd,10J,10,Jaffna,Jaffna,49068,31336,1649,29687,470,0,3387,5323,18688,0,0,0,0,0,409,0,0,1410,0,0,0,0,0
pd,10K,10,Kilinochchi,Jaffna,53421,24525,3603,20922,1522,0,669,8850,8576,0,0,0,0,0,740,0,0,565,0,0,0,0,0
pd,10P,10,Postal Votes - Jaffna District,Jaffna,1688,1192,30,1162,65,0,6,302,565,0,0,0,0,0,31,0,0,193,0,0,0,0,0
pd,11A,11,Mannar,Vanni,46990,16282,1301,14981,2507,91,4419,5492,0,0,0,0,0,0,0,0,2472,0,0,0,0,0,0
pd,11B,11,Vavuniya,Vanni,53733,21950,1827,20123,5423,1398,2073,8750,0,0,0,0,0,0,0,0,2479,0,0,0,0,0,0
pd,11C,11,Mullaitivu,Vanni,40224,9029,1307,7722,426,37,1440,2937,0,0,0,0,0,0,0,0,2882,0,0,0,0,0,0
pd,11P,11,Postal Votes - Vanni District,Vanni,501,389,27,362,169,42,13,92,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0
pd,12A,12,Kalkudah,Batticaloa,60149,47660,4401,43259,1916,445,15522,13383,0,0,0,0,404,0,0,0,0,0,0,0,0,0,0
pd,12B,12,Batticaloa,Batticaloa,99096,75545,4487,71058,7186,3162,21172,17194,0,0,0,0,899,0,0,0,0,0,0,0,0,0,0
pd,12C,12,Padiruppu,Batticaloa,56079,44848,5003,39845,1943,505,134,24064,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0
pd,12P,12,Postal Votes - Batticaloa District,Batticaloa,1250,1231,32,1199,272,18,39,490,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
pd,13A,13,Ampara,Digamadulla,92901,71241,4104,67137,37611,28602,190,124,0,0,0,0,0,0,0,0,0,0,0,610,0,0,0
pd,13B,13,Sammanturai,Digamadulla,44453,40822,1429,39393,6163,971,23820,8303,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0
pd,13C,13,Kalmunai,Digamadulla,43579,36725,1413,35312,6513,2241,15144,11369,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0
pd,13D,13,Potuvil,Digamadulla,82231,73160,3533,69627,11475,13012,21631,23352,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0
pd,13P,13,Postal Votes - Digamadulla District,Digamadulla,2604,2493,248,2245,838,574,540,276,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0
pd,14A,14,Seruwila,Trincomalee,47331,30561,1993,28568,11481,11695,1848,2011,0,0,77,0,0,1456,0,0,0,0,0,0,0,0,0
pd,14B,14,Trincomalee,Trincomalee,55236,35675,1299,34376,2881,2950,5164,7325,0,0,141,0,0,15915,0,0,0,0,0,0,0,0,0
pd,14C,14,Mutur,Trincomalee,48260,38856,1547,37309,7681,8036,10804,3160,0,0,63,0,0,7565,0,0,0,0,0,0,0,0,0
pd,14P,14,Postal Votes - Trincomalee District,Trincomalee,1462,1364,39,1325,407,285,68,259,0,0,3,0,0,303,0,0,0,0,0,0,0,0,0
pd,15A,15,Galgamuwa,Kurunegala,60359,43644,3540,40104,20412,16976,0,0,0,1232,311,1173,0,0,0,0,0,0,0,0,0,0,0
pd,15B,15,Nikaweratiya,Kurunegala,55823,35308,2539,32769,19342,10653,0,0,0,1022,437,1315,0,0,0,0,0,0,0,0,0,0,0
pd,15C,15,Yapahuwa,Kurunegala,65948,42426,3511,38915,23615,12187,0,0,0,2707,177,229,0,0,0,0,0,0,0,0,0,0,0
pd,15D,15,Hiriyala,Kurunegala,59043,39488,2632,36856,25073,10734,0,0,0,275,164,610,0,0,0,0,0,0,0,0,0,0,0
pd,15E,15,Wariyapola,Kurunegala,47374,37568,1811,35757,20526,14411,0,0,0,238,124,458,0,0,0,0,0,0,0,0,0,0,0
pd,15F,15,Panduwasnuwara,Kurunegala,47509,31294,1573,29721,16853,11417,0,0,0,272,108,1071,0,0,0,0,0,0,0,0,0,0,0
pd,15G,15,Bingiriya,Kurunegala,54522,43646,1589,42057,22496,18535,0,0,0,208,104,714,0,0,0,0,0,0,0,0,0,0,0
pd,15H,15,Katugampola,Kurunegala,61031,47140,2531,44609,25786,16903,0,0,0,1043,219,658,0,0,0,0,0,0,0,0,0,0,0
pd,15I,15,Kuliyapitiya,Kurunegala,61316,44404,2459,41945,24386,15487,0,0,0,441,183,1448,0,0,0,0,0,0,0,0,0,0,0
pd,15J,15,Dambadeniya,Kurunegala,63024,48101,2777,45324,28242,14595,0,0,0,1305,188,994,0,0,0,0,0,0,0,0,0,0,0
pd,15K,15,Polgahawela,Kurunegala,50258,39438,1964,37474,19458,15847,0,0,0,232,250,1687,0,0,0,0,0,0,0,0,0,0,0
pd,15L,15,Kurunegala,Kurunegala,51885,37507,2088,35419,21692,11849,0,0,0,508,284,1086,0,0,0,0,0,0,0,0,0,0,0
pd,15M,15,Mawathagama,Kurunegala,51935,40059,2592,37467,22899,12270,0,0,0,854,128,1316,0,0,0,0,0,0,0,0,0,0,0
pd,15N,15,Dodangaslanda,Kurunegala,43674,31334,2344,28990,16774,10744,0,0,0,532,82,858,0,0,0,0,0,0,0,0,0,0,0
pd,15P,15,Postal Votes - Kurunegala District,Kurunegala,11290,10771,262,10509,7170,2918,0,0,0,190,89,142,0,0,0,0,0,0,0,0,0,0,0
pd,16A,16,Puttalam,Puttalam,56582,39478,2552,36926,22541,10331,3661,0,0,150,0,147,0,0,0,0,0,0,0,0,0,22,0
pd,16B,16,Anamaduwa,Puttalam,66912,48722,2799,45923,29291,15208,450,0,0,505,0,329,0,0,0,0,0,0,0,0,0,24,0
pd,16C,16,Chilaw,Puttalam,69743,52517,2832,49685,30573,17456,699,0,0,430,0,333,0,0,0,0,0,0,0,0,0,32,0
pd,16D,16,Nattandiya,Puttalam,56794,41676,2236,39440,22957,13763,1276,0,0,1136,0,176,0,0,0,0,0,0,0,0,0,11,0
pd,16E,16,Wennappuwa,Puttalam,65347,50096,2712,47384,31912,14006,120,0,0,1090,0,128,0,0,0,0,0,0,0,0,0,17,0
pd,16P,16,Postal Votes - Puttalam District,Puttalam,3377,3191,74,3117,2035,923,47,0,0,87,0,24,0,0,0,0,0,0,0,0,0,0,0
pd,17A,17,Medawachchiya,Anuradhapura,46968,25140,1505,23635,15324,7228,0,0,0,183,116,228,0,0,0,0,0,0,556,0,0,0,0
pd,17B,17,Horowupotana,Anuradhapura,42195,19661,1121,18540,10563,7275,0,0,0,134,37,67,0,0,0,0,0,0,464,0,0,0,0
pd,17C,17,Anuradhapura-East,Anuradhapura,49059,19391,1309,18082,10763,6552,0,0,0,376,50,201,0,0,0,0,0,0,140,0,0,0,0
pd,17D,17,Anuradhapura-West,Anuradhapura,51510,35134,3024,32110,19461,11437,0,0,0,274,110,329,0,0,0,0,0,0,499,0,0,0,0
pd,17E,17,Kalawewa,Anuradhapura,65472,34273,3557,30716,14940,14522,0,0,0,438,79,333,0,0,0,0,0,0,404,0,0,0,0
pd,17F,17,Mihintale,Anuradhapura,33289,11440,1238,10202,4961,3786,0,0,0,112,37,89,0,0,0,0,0,0,1217,0,0,0,0
pd,17G,17,Kekirawa,Anuradhapura,40606,29075,2316,26759,14020,11670,0,0,0,150,57,97,0,0,0,0,0,0,765,0,0,0,0
pd,17P,17,Postal Votes - Anuradhapura District,Anuradhapura,4974,4576,175,4401,2694,1540,0,0,0,57,45,53,0,0,0,0,0,0,12,0,0,0,0
pd,18A,18,Minneriya,Polonnaruwa,49700,21349,1866,19483,10576,7431,0,0,0,765,0,711,0,0,0,0,0,0,0,0,0,0,0
pd,18B,18,Medirigiriya,Polonnaruwa,48477,13189,959,12230,8631,3384,0,0,0,67,0,148,0,0,0,0,0,0,0,0,0,0,0
pd,18C,18,Polonnaruwa,Polonnaruwa,64163,39120,2376,36744,23469,11973,0,0,0,250,0,1052,0,0,0,0,0,0,0,0,0,0,0
pd,18P,18,Postal Votes - Polonnaruwa District,Polonnaruwa,1405,1352,65,1287,797,433,0,0,0,35,0,22,0,0,0,0,0,0,0,0,0,0,0
pd,19A,19,Mahiyangane,Badulla,46406,37178,2341,34837,25158,9120,0,0,0,124,75,360,0,0,0,0,0,0,0,0,0,0,0
pd,19B,19,Wiyaluwa,Badulla,30170,23899,2248,21651,12581,8067,0,0,0,673,86,244,0,0,0,0,0,0,0,0,0,0,0
pd,19C,19,Passara,Badulla,31156,25599,2079,23520,13791,8475,0,0,0,583,112,559,0,0,0,0,0,0,0,0,0,0,0
pd,19D,19,Badulla,Badulla,30982,21979,1360,20619,10874,7154,0,0,0,1704,171,716,0,0,0,0,0,0,0,0,0,0,0
pd,19E,19,Hali-Ela,Badulla,34666,26940,2228,24712,14240,8454,0,0,0,1122,223,673,0,0,0,0,0,0,0,0,0,0,0
pd,19F,19,Uva-Paranagama,Badulla,38268,29855,3429,26426,15835,9739,0,0,0,171,337,344,0,0,0,0,0,0,0,0,0,0,0
pd,19G,19,Welimada,Badulla,41334,30031,2424,27607,14743,10521,0,0,0,380,135,1828,0,0,0,0,0,0,0,0,0,0,0
pd,19H,19,Bandarawela,Badulla,41805,27768,1958,25810,14078,10444,0,0,0,493,363,432,0,0,0,0,0,0,0,0,0,0,0
pd,19I,19,Haputale,Badulla,30052,21272,1509,19763,11495,7444,0,0,0,333,93,398,0,0,0,0,0,0,0,0,0,0,0
pd,19P,19,Postal Votes - Badulla District,Badulla,4482,4277,128,4149,2294,1593,0,0,0,129,98,35,0,0,0,0,0,0,0,0,0,0,0
pd,20A,20,Bibile,Moneragala,42671,31884,4002,27882,16362,10361,161,0,0,815,87,0,0,0,0,0,0,0,0,0,0,0,96
pd,20B,20,Moneragala,Moneragala,51157,35698,4396,31302,13141,16700,195,0,0,990,121,0,0,0,0,0,0,0,0,0,0,0,155
pd,20C,20,Wellawaya,Moneragala,66645,31792,3896,27896,16136,11018,94,0,0,325,226,0,0,0,0,0,0,0,0,0,0,0,97
pd,20P,20,Postal Votes - Moneragala District,Moneragala,1454,1295,23,1272,674,561,0,0,0,19,17,0,0,0,0,0,0,0,0,0,0,0,1
